date,vt_avg_temp,vt_prcp,me_avg_temp,me_prcp,ct_avg_temp,ct_prcp,ma_avg_temp,ma_prcp,CT_conf_cases,ME_conf_cases,MA_conf_cases,VT_conf_cases
2020-01-22,-28,0,-72.0,0.0,-76.0,0.0,-53.0,0.0,0,0,0,0
2020-01-23,-27,0,-30.0,3.0,-46.0,0.0,0.0,0.0,0,0,0,0
2020-01-24,-8,0,-14.0,0.0,6.0,0.0,19.0,0.0,0,0,0,0
2020-01-25,3,119,-30.0,3.0,23.0,218.0,33.0,25.0,0,0,0,0
2020-01-26,22,23,11.0,132.0,49.0,0.0,64.0,193.0,0,0,0,0
2020-01-27,14,13,-3.0,10.0,38.0,0.0,39.0,0.0,0,0,0,0
2020-01-28,-11,3,-58.0,0.0,26.0,0.0,30.0,0.0,0,0,0,0
2020-01-29,-69,0,-105.0,0.0,13.0,0.0,14.0,0.0,0,0,0,0
2020-01-30,-85,0,-96.0,0.0,-32.0,0.0,-34.0,0.0,0,0,0,0
2020-01-31,-53,0,-55.0,0.0,-17.0,3.0,2.0,0.0,0,0,0,0
2020-02-01,-13,0,-19.0,0.0,13.0,0.0,16.0,5.0,0,0,0,0
2020-02-02,-16,0,-52.0,0.0,16.0,0.0,25.0,0.0,0,0,0,0
2020-02-03,14,0,-25.0,0.0,31.0,0.0,22.0,0.0,0,0,0,0
2020-02-04,-5,0,-35.0,0.0,26.0,0.0,30.0,0.0,0,0,0,0
2020-02-05,-33,0,-72.0,0.0,43.0,3.0,16.0,25.0,0,0,0,0
2020-02-06,-49,102,-85.0,53.0,1.0,91.0,11.0,114.0,0,0,0,0
2020-02-07,-55,226,-77.0,254.0,16.0,84.0,69.0,114.0,0,0,0,0
2020-02-08,-141,0,-144.0,3.0,-16.0,0.0,-14.0,0.0,0,0,0,0
2020-02-09,-124,0,-144.0,0.0,-36.0,0.0,-33.0,0.0,0,0,0,0
2020-02-10,-2,8,-44.0,30.0,26.0,69.0,36.0,33.0,0,0,0,0
2020-02-11,-11,13,-44.0,0.0,39.0,33.0,47.0,69.0,0,0,0,0
2020-02-12,11,0,-25.0,0.0,38.0,0.0,30.0,0.0,0,0,0,0
2020-02-13,-50,38,-80.0,18.0,25.0,165.0,22.0,163.0,0,0,0,0
2020-02-14,-166,0,-188.0,0.0,-17.0,0.0,-25.0,0.0,0,0,0,0
2020-02-15,-138,0,-160.0,0.0,-88.0,0.0,-70.0,0.0,0,0,0,0
2020-02-16,-8,0,-72.0,0.0,-7.0,0.0,0.0,0.0,0,0,0,0
2020-02-17,-55,3,-85.0,3.0,26.0,0.0,19.0,0.0,0,0,0,0
2020-02-18,-39,28,-110.0,109.0,-5.0,43.0,0.0,38.0,0,0,0,0
2020-02-19,-22,0,-85.0,3.0,31.0,0.0,39.0,15.0,0,0,0,0
2020-02-20,-116,0,-158.0,0.0,-24.0,0.0,-23.0,0.0,0,0,0,0
2020-02-21,-113,0,-118.0,0.0,-52.0,0.0,-53.0,0.0,0,0,0,0
2020-02-22,-8,0,-58.0,0.0,3.0,0.0,14.0,0.0,0,0,0,0
2020-02-23,0,0,11.0,0.0,29.0,0.0,50.0,0.0,0,0,0,0
2020-02-24,64,0,25.0,0.0,63.0,0.0,83.0,0.0,0,0,0,0
2020-02-25,25,10,41.0,0.0,78.0,46.0,89.0,0.0,0,0,0,0
2020-02-26,0,3,9.0,0.0,69.0,20.0,61.0,56.0,0,0,0,0
2020-02-27,9,140,-22.0,124.0,59.0,257.0,64.0,191.0,0,0,0,0
2020-02-28,-30,10,-66.0,3.0,3.0,0.0,11.0,0.0,0,0,0,0
2020-02-29,-69,5,-102.0,0.0,-18.0,0.0,-11.0,0.0,0,0,0,0
2020-03-01,-69,3,-99.0,3.0,-32.0,0.0,-31.0,0.0,0,0,0,0
2020-03-02,0,0,-83.0,46.0,31.0,0.0,25.0,0.0,0,0,1,0
2020-03-03,67,28,42.0,0.0,107.0,38.0,133.0,0.0,0,0,1,0
2020-03-04,53,0,0.0,66.0,89.0,0.0,83.0,25.0,0,0,1,0
2020-03-05,28,0,-11.0,0.0,62.0,0.0,61.0,0.0,0,0,5,0
2020-03-06,14,0,-41.0,8.0,32.0,0.0,30.0,0.0,0,0,10,0
2020-03-07,-33,0,-58.0,0.0,37.0,0.0,27.0,20.0,0,0,30,0
2020-03-08,20,0,-16.0,0.0,43.0,0.0,41.0,0.0,0,0,39,0
2020-03-09,116,0,33.0,0.0,127.0,0.0,136.0,0.0,0,0,42,0
2020-03-10,83,30,9.0,5.0,141.0,0.0,139.0,0.0,0,0,51,0
2020-03-11,-3,0,-11.0,0.0,94.0,0.0,97.0,0.0,0,0,58,0
2020-03-12,39,0,-36.0,0.0,55.0,18.0,36.0,0.0,0,0,67,0
2020-03-13,78,53,0.0,183.0,78.0,251.0,102.0,51.0,0,0,84,0
2020-03-14,47,0,-16.0,0.0,69.0,0.0,77.0,0.0,1,0,108,0
2020-03-15,-30,0,-71.0,0.0,57.0,0.0,36.0,0.0,2,0,119,0
2020-03-16,-19,0,-83.0,0.0,7.0,0.0,0.0,0.0,4,0,157,0
2020-03-17,39,0,-33.0,69.0,24.0,18.0,28.0,15.0,7,0,209,0
2020-03-18,39,0,-25.0,0.0,68.0,0.0,50.0,0.0,11,0,268,0
2020-03-19,58,0,-8.0,8.0,54.0,221.0,55.0,142.0,18,0,326,0
2020-03-20,108,36,44.0,13.0,88.0,15.0,116.0,8.0,29,0,400,0
2020-03-21,-14,0,-36.0,0.0,86.0,0.0,80.0,0.0,29,0,464,0
2020-03-22,-33,0,-85.0,0.0,6.0,0.0,0.0,0.0,54,0,526,0
2020-03-23,-16,114,-52.0,58.0,3.0,290.0,2.0,99.0,61,0,658,0
2020-03-24,8,0,-8.0,5.0,40.0,0.0,58.0,457.0,88,0,800,0
2020-03-25,17,0,-5.0,0.0,29.0,0.0,50.0,0.0,116,0,942,0
2020-03-26,66,10,14.0,0.0,57.0,0.0,55.0,0.0,138,0,1129,0
2020-03-27,50,0,11.0,0.0,116.0,0.0,105.0,0.0,189,0,1305,0
2020-03-28,45,0,20.0,0.0,64.0,86.0,55.0,0.0,228,0,1454,0
2020-03-29,66,142,28.0,155.0,67.0,173.0,61.0,122.0,276,0,1549,0
2020-03-30,53,91,-11.0,64.0,51.0,3.0,47.0,122.0,330,0,1804,0
2020-03-31,45,3,-6.0,0.0,51.0,0.0,30.0,18.0,393,0,2078,0
2020-04-01,28,0,3.0,18.0,50.0,0.0,19.0,0.0,469,0,2349,0
2020-04-02,41,66,30.0,264.0,72.0,28.0,58.0,61.0,539,0,2608,0
2020-04-03,72,48,44.0,66.0,74.0,23.0,58.0,343.0,679,0,2920,0
2020-04-04,83,5,36.0,0.0,93.0,0.0,55.0,102.0,726,0,3141,0
2020-04-05,83,3,64.0,5.0,108.0,0.0,75.0,0.0,751,0,3393,0
2020-04-06,75,0,34.0,0.0,110.0,0.0,100.0,0.0,882,0,3828,0
2020-04-07,75,0,3.0,0.0,124.0,0.0,102.0,0.0,1045,0,4267,0
2020-04-08,72,0,9.0,0.0,106.0,33.0,80.0,10.0,1045,0,4690,0
2020-04-09,66,99,6.0,229.0,80.0,119.0,66.0,185.0,1471,0,5197,1
2020-04-10,30,38,-8.0,53.0,62.0,0.0,64.0,18.0,1615,0,5684,1
2020-04-11,47,0,3.0,0.0,66.0,0.0,64.0,0.0,1832,0,5999,1
2020-04-12,77,0,34.0,0.0,76.0,0.0,69.0,0.0,1914,0,6244,1
2020-04-13,130,61,64.0,226.0,134.0,434.0,136.0,488.0,2243,0,6645,1
2020-04-14,66,0,53.0,0.0,114.0,0.0,111.0,5.0,2370,0,7375,1
2020-04-15,42,0,17.0,0.0,83.0,0.0,83.0,5.0,2570,0,7981,1
2020-04-16,28,3,-3.0,0.0,48.0,0.0,44.0,0.0,2859,0,8628,1
2020-04-17,33,0,-2.0,0.0,42.0,36.0,52.0,0.0,3015,0,9390,1
2020-04-18,48,0,3.0,0.0,30.0,109.0,39.0,191.0,3196,0,9768,1
2020-04-19,70,0,48.0,3.0,72.0,0.0,80.0,0.0,3351,1,10072,2
2020-04-20,36,5,11.0,0.0,93.0,0.0,78.0,0.0,3823,1,10649,2
2020-04-21,39,13,17.0,157.0,67.0,155.0,47.0,86.0,3951,1,11119,2
2020-04-22,6,0,-36.0,3.0,41.0,0.0,38.0,0.0,4128,1,11871,2
2020-04-23,45,0,-11.0,0.0,44.0,0.0,58.0,0.0,4303,1,12373,2
2020-04-24,61,0,31.0,0.0,59.0,51.0,66.0,102.0,4570,1,12837,2
2020-04-25,111,0,61.0,0.0,93.0,0.0,75.0,0.0,4761,1,13222,2
2020-04-26,89,81,64.0,0.0,88.0,81.0,77.0,64.0,4989,1,13405,2
2020-04-27,61,36,36.0,8.0,49.0,15.0,44.0,284.0,5157,1,13835,2
2020-04-28,89,0,66.0,0.0,83.0,5.0,55.0,43.0,5224,1,14292,2
2020-04-29,100,0,75.0,0.0,94.0,0.0,58.0,0.0,5388,1,14687,2
2020-04-30,100,10,58.0,3.0,86.0,279.0,94.0,0.0,5601,1,15171,2
2020-05-01,139,25,67.0,119.0,139.0,185.0,133.0,236.0,5931,1,15616,2
2020-05-02,108,0,77.0,0.0,148.0,3.0,144.0,13.0,6112,1,15867,2
2020-05-03,175,5,114.0,5.0,184.0,0.0,178.0,0.0,6112,1,16018,2
2020-05-04,102,5,66.0,36.0,168.0,0.0,177.0,0.0,6173,1,16387,2
2020-05-05,72,0,44.0,0.0,98.0,0.0,103.0,0.0,6351,1,16725,2
2020-05-06,77,0,58.0,0.0,83.0,5.0,72.0,0.0,6530,1,17060,2
2020-05-07,91,8,78.0,0.0,107.0,0.0,102.0,28.0,6750,1,17386,2
2020-05-08,64,25,39.0,15.0,104.0,56.0,108.0,23.0,6904,1,17731,2
2020-05-09,25,18,-3.0,56.0,47.0,3.0,50.0,114.0,7105,1,17878,2
2020-05-10,75,0,11.0,0.0,72.0,0.0,83.0,0.0,7263,1,17981,2
2020-05-11,72,163,86.0,48.0,97.0,51.0,122.0,51.0,7358,1,18199,2
2020-05-12,61,0,20.0,112.0,86.0,0.0,94.0,0.0,7528,1,18465,2
2020-05-13,75,0,42.0,0.0,86.0,0.0,89.0,0.0,7732,1,18724,2
2020-05-14,106,0,89.0,0.0,124.0,5.0,119.0,0.0,7935,1,18973,2
2020-05-15,166,147,89.0,51.0,175.0,91.0,191.0,18.0,8126,1,19186,2
2020-05-16,139,0,88.0,58.0,195.0,8.0,161.0,269.0,8299,1,19316,2
2020-05-17,153,0,116.0,0.0,159.0,0.0,136.0,0.0,8723,1,19397,2
2020-05-18,158,0,105.0,0.0,146.0,0.0,128.0,0.0,8957,1,19699,2
2020-05-19,133,0,111.0,0.0,147.0,0.0,97.0,0.0,9050,1,19901,2
2020-05-20,155,0,142.0,0.0,137.0,0.0,105.0,0.0,9234,1,20071,2
2020-05-21,197,0,166.0,0.0,138.0,0.0,139.0,0.0,9299,1,20271,2
2020-05-22,200,0,216.0,0.0,182.0,0.0,191.0,0.0,9463,1,20432,3
2020-05-23,191,0,122.0,0.0,201.0,0.0,153.0,3.0,9545,1,20526,3
2020-05-24,183,0,119.0,0.0,147.0,0.0,108.0,0.0,9686,1,20588,3
2020-05-25,208,0,114.0,0.0,153.0,3.0,122.0,3.0,9841,1,20625,3
2020-05-26,261,0,213.0,0.0,202.0,0.0,186.0,0.0,9917,1,20785,3
2020-05-27,286,0,233.0,0.0,209.0,0.0,227.0,0.0,9962,1,20940,3
2020-05-28,264,0,230.0,0.0,212.0,0.0,222.0,0.0,10078,1,21069,3
2020-05-29,250,249,241.0,28.0,222.0,0.0,236.0,8.0,10146,1,21195,3
2020-05-30,175,15,161.0,0.0,221.0,3.0,225.0,10.0,10207,1,21248,3
2020-05-31,97,3,72.0,10.0,170.0,0.0,183.0,0.0,10296,1,21298,3
2020-06-01,100,3,61.0,0.0,119.0,0.0,130.0,0.0,10448,1,21396,3
2020-06-02,125,0,94.0,0.0,131.0,0.0,130.0,8.0,10536,1,21460,3
2020-06-03,147,10,111.0,5.0,193.0,0.0,200.0,18.0,10593,1,21550,3
2020-06-04,197,3,155.0,0.0,238.0,0.0,228.0,0.0,10636,1,21610,3
2020-06-05,241,0,205.0,0.0,232.0,5.0,230.0,25.0,10677,1,21666,3
2020-06-06,214,36,167.0,137.0,242.0,51.0,255.0,30.0,10747,1,21696,3
2020-06-07,167,0,122.0,5.0,191.0,0.0,169.0,28.0,10809,1,21725,3
2020-06-08,161,0,136.0,0.0,177.0,0.0,166.0,0.0,10844,1,21777,3
2020-06-09,175,13,153.0,0.0,219.0,0.0,186.0,0.0,10859,1,21845,3
2020-06-10,200,0,144.0,0.0,231.0,0.0,194.0,0.0,10924,1,21889,3
2020-06-11,222,28,133.0,33.0,218.0,51.0,214.0,71.0,10967,1,21924,3
2020-06-12,191,0,175.0,0.0,231.0,0.0,236.0,0.0,11103,1,21971,3
2020-06-13,108,3,94.0,0.0,182.0,0.0,197.0,0.0,11189,1,21995,3
2020-06-14,147,0,116.0,3.0,151.0,0.0,152.0,0.0,11218,1,22020,3
2020-06-15,164,0,147.0,0.0,182.0,0.0,163.0,0.0,11231,1,22082,3
2020-06-16,188,0,189.0,0.0,188.0,0.0,155.0,0.0,11261,1,22127,3
2020-06-17,219,0,211.0,0.0,201.0,0.0,169.0,0.0,11284,1,22191,3
2020-06-18,238,0,242.0,0.0,231.0,0.0,230.0,0.0,11322,1,22230,3
2020-06-19,272,0,250.0,0.0,244.0,0.0,255.0,0.0,11358,1,22263,3
2020-06-20,266,0,267.0,0.0,254.0,0.0,266.0,0.0,11392,2,22283,3
2020-06-21,272,0,225.0,0.0,261.0,0.0,264.0,43.0,11405,2,22302,3
2020-06-22,278,0,211.0,0.0,270.0,0.0,211.0,0.0,11414,2,22344,3
2020-06-23,289,0,239.0,0.0,255.0,0.0,250.0,0.0,11443,2,22389,3
2020-06-24,233,84,183.0,30.0,258.0,0.0,255.0,0.0,11450,2,22424,3
2020-06-25,216,0,183.0,0.0,231.0,0.0,236.0,0.0,11483,2,22476,3
2020-06-26,236,0,200.0,3.0,241.0,0.0,233.0,48.0,11511,2,22515,3
2020-06-27,233,3,200.0,0.0,206.0,102.0,216.0,8.0,11558,3,22540,3
2020-06-28,228,8,216.0,0.0,219.0,0.0,233.0,152.0,11587,3,22557,3
2020-06-29,200,74,183.0,61.0,217.0,0.0,202.0,124.0,11623,3,22595,3
2020-06-30,225,216,183.0,114.0,204.0,107.0,183.0,20.0,11662,3,22636,3
2020-07-01,228,51,211.0,0.0,208.0,3.0,202.0,5.0,11691,3,22664,3
2020-07-02,258,0,239.0,3.0,232.0,0.0,244.0,0.0,11716,3,22702,3
2020-07-03,247,13,186.0,0.0,250.0,28.0,219.0,0.0,11728,3,22726,3
2020-07-04,244,0,203.0,0.0,219.0,0.0,208.0,8.0,11728,3,22738,3
2020-07-05,236,0,186.0,94.0,252.0,0.0,233.0,0.0,11728,4,22756,3
2020-07-06,231,0,180.0,0.0,253.0,0.0,205.0,28.0,11794,4,22797,4
2020-07-07,239,3,194.0,0.0,209.0,0.0,211.0,0.0,11812,4,22847,4
2020-07-08,261,124,189.0,114.0,227.0,3.0,250.0,0.0,11835,4,22876,4
2020-07-09,272,0,230.0,0.0,266.0,0.0,275.0,0.0,11866,5,22922,5
2020-07-10,294,0,241.0,0.0,251.0,25.0,250.0,0.0,11892,5,22962,5
2020-07-11,275,61,222.0,132.0,259.0,18.0,275.0,8.0,11892,5,22987,5
2020-07-12,250,23,233.0,46.0,263.0,0.0,269.0,0.0,11892,5,23003,5
2020-07-13,233,0,214.0,56.0,265.0,0.0,253.0,51.0,11949,5,23039,5
2020-07-14,222,0,175.0,0.0,241.0,5.0,214.0,0.0,11950,5,23082,5
2020-07-15,230,0,178.0,0.0,219.0,0.0,194.0,5.0,11980,4,23136,5
2020-07-16,227,0,158.0,0.0,226.0,0.0,169.0,0.0,12016,4,23183,5
2020-07-17,233,43,128.0,41.0,196.0,30.0,183.0,46.0,12046,4,23231,5
2020-07-18,266,0,208.0,0.0,253.0,0.0,255.0,0.0,12046,4,23257,5
2020-07-19,280,18,230.0,0.0,280.0,0.0,281.0,0.0,12046,4,23281,5
2020-07-20,283,3,250.0,0.0,291.0,0.0,288.0,0.0,12082,4,23324,5
2020-07-21,230,0,194.0,0.0,273.0,0.0,263.0,0.0,12101,4,23361,4
2020-07-22,225,0,189.0,0.0,261.0,3.0,236.0,13.0,12147,4,23396,4
2020-07-23,241,99,214.0,147.0,261.0,135.0,272.0,84.0,12145,3,23441,4
2020-07-24,236,0,219.0,0.0,243.0,0.0,236.0,0.0,12340,3,23493,4
2020-07-25,242,0,222.0,0.0,251.0,0.0,244.0,0.0,12340,3,23520,4
2020-07-26,261,0,205.0,175.0,280.0,0.0,283.0,0.0,12340,3,23534,4
2020-07-27,283,173,239.0,69.0,287.0,0.0,302.0,0.0,12390,3,23590,4
2020-07-28,269,3,241.0,3.0,298.0,0.0,311.0,0.0,12401,3,23642,4
2020-07-29,241,10,228.0,20.0,257.0,0.0,272.0,0.0,12542,3,23714,4
2020-07-30,241,0,211.0,18.0,269.0,0.0,278.0,0.0,12561,3,23771,4
2020-07-31,227,0,208.0,0.0,255.0,0.0,244.0,0.0,12645,3,23836,4
2020-08-01,239,0,211.0,0.0,253.0,0.0,239.0,0.0,12645,3,23860,4
2020-08-02,253,333,228.0,0.0,256.0,25.0,267.0,0.0,12645,3,23883,4
2020-08-03,233,0,225.0,8.0,277.0,13.0,303.0,0.0,12701,3,23932,4
2020-08-04,200,635,200.0,178.0,242.0,38.0,267.0,25.0,12711,3,23982,4
2020-08-05,222,33,225.0,13.0,253.0,0.0,283.0,0.0,12733,3,24044,4
2020-08-06,200,0,180.0,0.0,223.0,0.0,272.0,0.0,12745,3,24110,4
2020-08-07,211,0,200.0,0.0,225.0,3.0,211.0,0.0,12761,3,24170,4
2020-08-08,233,0,211.0,0.0,248.0,0.0,225.0,0.0,12761,3,24195,6
2020-08-09,241,0,217.0,5.0,259.0,0.0,269.0,0.0,12761,4,24209,6
2020-08-10,261,41,225.0,0.0,274.0,0.0,283.0,0.0,12800,4,24268,6
2020-08-11,275,292,244.0,0.0,277.0,0.0,289.0,0.0,12826,4,24302,6
2020-08-12,252,0,238.0,3.0,275.0,48.0,294.0,0.0,12830,4,24363,6
2020-08-13,239,0,219.0,0.0,254.0,0.0,253.0,0.0,12855,6,24420,6
2020-08-14,228,0,208.0,0.0,243.0,0.0,214.0,0.0,12871,6,24468,6
2020-08-15,222,0,197.0,0.0,221.0,0.0,191.0,0.0,12871,11,24497,6
2020-08-16,227,0,189.0,0.0,197.0,5.0,200.0,18.0,12871,11,24519,6
2020-08-17,205,13,186.0,0.0,215.0,74.0,200.0,38.0,12956,12,24579,6
2020-08-18,208,61,164.0,114.0,226.0,0.0,241.0,76.0,12949,12,24647,6
2020-08-19,186,5,161.0,8.0,202.0,0.0,200.0,13.0,12956,7,24725,6
2020-08-20,178,0,158.0,0.0,199.0,0.0,200.0,0.0,12978,7,24786,6
2020-08-21,219,8,164.0,48.0,224.0,0.0,244.0,0.0,13002,7,24855,6
2020-08-22,219,0,180.0,0.0,249.0,0.0,239.0,36.0,13002,7,24887,6
2020-08-23,228,20,183.0,0.0,250.0,0.0,247.0,89.0,13002,7,24905,6
2020-08-24,247,46,194.0,196.0,252.0,46.0,252.0,28.0,13180,7,24975,6
2020-08-25,225,0,186.0,64.0,250.0,28.0,267.0,0.0,13184,7,25064,6
2020-08-26,161,0,128.0,0.0,202.0,0.0,202.0,0.0,13273,8,25142,6
2020-08-27,139,0,133.0,0.0,175.0,152.0,186.0,84.0,13307,8,25210,6
2020-08-28,203,0,153.0,0.0,205.0,0.0,214.0,0.0,13392,8,25297,6
2020-08-29,197,193,122.0,89.0,207.0,127.0,205.0,56.0,13392,8,25328,6
2020-08-30,186,0,119.0,0.0,218.0,0.0,214.0,0.0,13392,8,25355,6
2020-08-31,175,0,130.0,0.0,170.0,0.0,169.0,0.0,13504,8,25423,6
2020-09-01,191,0,155.0,0.0,194.0,0.0,186.0,0.0,13529,8,25498,6
2020-09-02,211,15,152.0,10.0,188.0,86.0,183.0,56.0,13561,8,25564,6
2020-09-03,211,0,186.0,0.0,238.0,124.0,231.0,8.0,13598,8,25495,6
2020-09-04,206,0,186.0,0.0,236.0,0.0,247.0,0.0,13635,8,25558,6
2020-09-05,183,0,150.0,0.0,188.0,0.0,200.0,0.0,13635,8,25629,6
2020-09-06,169,0,144.0,0.0,200.0,0.0,208.0,0.0,13635,8,25712,6
2020-09-07,194,0,144.0,10.0,217.0,0.0,222.0,0.0,13635,8,25752,6
2020-09-08,222,0,177.0,0.0,222.0,0.0,222.0,0.0,13771,8,25792,6
2020-09-09,205,0,191.0,0.0,222.0,0.0,236.0,0.0,13796,8,25847,6
2020-09-10,205,3,169.0,3.0,229.0,28.0,253.0,3.0,13853,8,25931,6
2020-09-11,130,0,114.0,0.0,212.0,0.0,219.0,51.0,13886,8,26021,6
2020-09-12,144,0,125.0,0.0,157.0,0.0,152.0,0.0,13886,8,26138,6
2020-09-13,188,38,130.0,18.0,168.0,0.0,161.0,0.0,13886,8,26182,6
2020-09-14,141,0,117.0,0.0,208.0,0.0,214.0,0.0,14060,8,26246,6
2020-09-15,108,0,100.0,0.0,130.0,0.0,141.0,0.0,14099,8,26304,6
